best_so_far,mean_R,method,round,seed
1.0,0.2740107818616034,pex,17,2
1.0,0.19501537578438918,pex,18,2
1.0,0.2422677474800214,pex,19,2
1.0,0.03711334988182879,adalead,0,2
1.0,0.6144276408850124,adalead,1,2
1.0,0.8462944436394878,adalead,2,2
1.0,0.8936411095520078,adalead,3,2
1.0,0.8628772744172865,adalead,4,2
1.0,0.8930370693674289,adalead,5,2
1.0,0.8951141932682621,adalead,6,2
1.0,0.9131697018905137,adalead,7,2
1.0,0.8796016135240075,adalead,8,2
1.0,0.867290247386434,adalead,9,2
1.0,0.8646924186960413,adalead,10,2
1.0,0.8221995981725608,adalead,11,2
1.0,0.8269967441862672,adalead,12,2
1.0,0.8999779844117018,adalead,13,2
1.0,0.8672607494406944,adalead,14,2
1.0,0.8126245632998453,adalead,15,2
1.0,0.8811284650872767,adalead,16,2
1.0,0.8657447941118206,adalead,17,2
1.0,0.8695207279899125,adalead,18,2
1.0,0.8159139870550777,adalead,19,2
1.0,0.03239431932111188,price_rl,0,2
1.0,0.2473863850061766,price_rl,1,2
1.0,0.834574463670291,price_rl,2,2
1.0,0.9467242400816144,price_rl,3,2
1.0,0.9801693712484547,price_rl,4,2
1.0,0.9879319258278053,price_rl,5,2
1.0,0.9892828539790393,price_rl,6,2
1.0,0.9915850823873391,price_rl,7,2
1.0,0.9885075869171677,price_rl,8,2
1.0,0.9971389706306346,price_rl,9,2
1.0,0.9838250801746079,price_rl,10,2
1.0,0.9921962065549422,price_rl,11,2
1.0,1.0,price_rl,12,2
1.0,0.9999634763307929,price_rl,13,2
1.0,0.9908556978159874,price_rl,14,2
1.0,0.9950008383778883,price_rl,15,2
1.0,1.0,price_rl,16,2
1.0,1.0,price_rl,17,2
1.0,1.0,price_rl,18,2
1.0,0.9885846768172212,price_rl,19,2
1.0,0.03239431932111188,price_rl_fixed,0,2
1.0,0.040063356884565256,price_rl_fixed,1,2
1.0,0.06831990832185922,price_rl_fixed,2,2
1.0,0.054995236538280416,price_rl_fixed,3,2
1.0,0.08791523969133898,price_rl_fixed,4,2
1.0,0.12510596803177862,price_rl_fixed,5,2
1.0,0.12339529683522336,price_rl_fixed,6,2
1.0,0.1748135625383031,price_rl_fixed,7,2
1.0,0.2127343094518388,price_rl_fixed,8,2
1.0,0.3106027757153776,price_rl_fixed,9,2
1.0,0.4464646627686358,price_rl_fixed,10,2
1.0,0.5594295555110955,price_rl_fixed,11,2
1.0,0.6890756581660556,price_rl_fixed,12,2
1.0,0.8010574612442989,price_rl_fixed,13,2
1.0,0.8606390852647818,price_rl_fixed,14,2
1.0,0.8955243348602474,price_rl_fixed,15,2
1.0,0.8985134971259015,price_rl_fixed,16,2
1.0,0.8703390098269125,price_rl_fixed,17,2
1.0,0.9146564320217371,price_rl_fixed,18,2
1.0,0.9135610468063446,price_rl_fixed,19,2
1.0,0.04258316465489129,random,0,3
1.0,0.03411364008628476,random,1,3
1.0,0.025649766572945477,random,2,3
1.0,0.044636737161506644,random,3,3
1.0,0.04741287493726642,random,4,3
1.0,0.03416750470858551,random,5,3
1.0,0.03941976614380599,random,6,3
1.0,0.047284085863917386,random,7,3
1.0,0.03416110704002442,random,8,3
1.0,0.02343623937772013,random,9,3
1.0,0.045852606768060626,random,10,3
1.0,0.04465295630460796,random,11,3
1.0,0.026819077751104703,random,12,3
1.0,0.056625712027911945,random,13,3
1.0,0.04095682647100661,random,14,3
1.0,0.05041902371416272,random,15,3
1.0,0.05275907249548171,random,16,3
1.0,0.043138957750880814,random,17,3
1.0,0.021668850809537586,random,18,3
1.0,0.04099086033539193,random,19,3
1.0,0.04258316465489129,pex,0,3
1.0,0.1922689420652151,pex,1,3
1.0,0.21920168285887723,pex,2,3
1.0,0.23970832683382604,pex,3,3
