best_so_far,mean_R,method,round,seed
1.0,0.8763669465823537,adalead,24,2
1.0,0.8365100521556909,adalead,25,2
1.0,0.8463069254705314,adalead,26,2
1.0,0.8297156393949515,adalead,27,2
1.0,0.8761261337416151,adalead,28,2
1.0,0.824424493546509,adalead,29,2
1.0,0.8544479775144836,adalead,30,2
1.0,0.811100698777042,adalead,31,2
1.0,0.8202159485058858,adalead,32,2
1.0,0.8848301070430082,adalead,33,2
1.0,0.8700882364435265,adalead,34,2
1.0,0.8754978054434451,adalead,35,2
1.0,0.8246644772249518,adalead,36,2
1.0,0.8251184337800538,adalead,37,2
1.0,0.8564797414597447,adalead,38,2
1.0,0.8703167336873157,adalead,39,2
1.0,0.03239431932111188,gflownet_al,0,2
1.0,0.033330986506254816,gflownet_al,1,2
1.0,0.023707919066210437,gflownet_al,2,2
1.0,0.06144772867372192,gflownet_al,3,2
1.0,0.05086502317358081,gflownet_al,4,2
1.0,0.03517967001742789,gflownet_al,5,2
1.0,0.04579573591141008,gflownet_al,6,2
1.0,0.029848620937139837,gflownet_al,7,2
1.0,0.06528326921271091,gflownet_al,8,2
1.0,0.057511717065322966,gflownet_al,9,2
1.0,0.06920632308276804,gflownet_al,10,2
1.0,0.030626343949294803,gflownet_al,11,2
1.0,0.07335475154489607,gflownet_al,12,2
1.0,0.04371079085823678,gflownet_al,13,2
1.0,0.04918280586447143,gflownet_al,14,2
1.0,0.08970145650941541,gflownet_al,15,2
1.0,0.034448848842688444,gflownet_al,16,2
1.0,0.06068160832697371,gflownet_al,17,2
1.0,0.04787816556219321,gflownet_al,18,2
1.0,0.07213776079792719,gflownet_al,19,2
1.0,0.04608834216068327,gflownet_al,20,2
1.0,0.0461796674985992,gflownet_al,21,2
1.0,0.05487627959318523,gflownet_al,22,2
1.0,0.0723121475650749,gflownet_al,23,2
1.0,0.045629340498211636,gflownet_al,24,2
1.0,0.05945765988417689,gflownet_al,25,2
1.0,0.03960030801840954,gflownet_al,26,2
1.0,0.06456277902442506,gflownet_al,27,2
1.0,0.055129755285950564,gflownet_al,28,2
1.0,0.03750274502617564,gflownet_al,29,2
1.0,0.06634481949356669,gflownet_al,30,2
1.0,0.06655724856840582,gflownet_al,31,2
1.0,0.06534499112686093,gflownet_al,32,2
1.0,0.050960397123392925,gflownet_al,33,2
